Trung_binh
26.09
27.01
27.52
27.33
26.77
25.63
24.66
23.98
19.78
11.03
11.04
11.88
12.69
13.04
11.9
10.68
10.53
10.61
10.65
10.59
10.67
11.19
11.88
12.19
12.38
13.0
13.5
13.35
13.45
14.27
15.45
15.43
15.47
14.09
13.84
14.32
15.35
15.37
15.21
15.88
15.85
15.56
15.62
15.98
15.43
14.13
13.47
13.02
12.37
11.36
10.88
10.85
10.91
11.49
11.74
11.96
12.29
13.18
12.5
11.6
11.38
11.31
11.37
11.65
14.81
14.06
12.14
11.33
10.91
10.61
10.43
10.38
10.34
9.47
8.8
8.88
8.71
8.34
8.23
8.35
8.53
9.03
9.23
9.0
8.64
8.62
8.55
8.36
8.26
8.52
8.63
8.59
8.37
8.35
8.29
8.32
8.25
8.44
9.03
8.99
8.92
8.89
8.51
9.18
14.31
14.5
11.21
9.82
10.49
12.12
13.44
12.53
10.81
8.48
7.69
8.16
9.55
7.96
6.64
5.38
5.21
5.44
5.12
5.46
4.62
5.27
5.28
5.56
5.55
5.33
5.52
5.92
5.42
5.19
5.18
5.2
5.48
5.88
6.14
6.2
6.18
6.08
6.31
6.5
6.93
7.4
7.79
8.9
9.07
9.05
9.52
7.64
5.11
3.61
2.9
2.39
1.76
1.76
1.62
1.31
1.15
1.12
1.05
1.0
1.06
1.21
1.08
1.1
1.17
1.29
3.26
4.67
4.38
4.9
5.28
5.79
6.64
5.81
5.51
6.14
7.62
8.75
8.23
6.67
5.25
5.7
6.16
6.07
4.99
4.57
5.22
5.35
4.95
4.69
5.21
6.54
6.91
6.26
5.5
5.72
6.38
5.82
4.86
4.28
4.23
4.11
3.92
4.18
4.72
4.88
4.61
4.8
5.83
6.51
6.82
7.29
9.14
10.42
13.71
16.52
16.93
14.89
12.43
9.19
7.95
7.93
8.57
13.0
13.53
13.52
13.67
13.59
13.26
13.1
13.32
12.67
13.46
13.73
15.0
26.23
24.71
23.72
24.26
25.21
28.23
31.32
29.84
29.09
26.64
24.03
21.57
19.35
17.56
16.55
15.77
15.28
15.25
14.29
11.26
10.25
10.52
10.97
11.39
10.98
13.59
15.79
15.45
15.84
14.36
14.09
14.01
13.26
14.16
11.04
1.68
1.74
2.15
2.23
2.0
1.99
2.08
2.06
2.08
2.09
