timestamp,value
2023-05-16T19:01:55Z,31.5
2023-05-16T19:02:16Z,30.7
2023-05-16T19:02:37Z,31.0
2023-05-16T19:02:57Z,31.5
2023-05-16T19:03:17Z,31.0
2023-05-16T19:03:38Z,30.1
2023-05-16T19:03:58Z,30.5
2023-05-16T19:04:22Z,31.7
2023-05-16T19:04:44Z,31.5
2023-05-16T19:05:06Z,30.5
2023-05-16T19:05:28Z,31.7
2023-05-16T19:05:50Z,31.0
2023-05-16T19:06:12Z,30.5
2023-05-16T19:06:33Z,30.3
2023-05-16T19:06:53Z,29.1
2023-05-16T19:07:13Z,30.3
2023-05-16T19:07:35Z,30.3
2023-05-16T19:07:59Z,28.7
2023-05-16T19:08:22Z,29.9
2023-05-16T19:08:45Z,29.4
2023-05-16T19:09:07Z,30.3
2023-05-16T19:09:30Z,30.2
2023-05-16T19:09:50Z,30.3
2023-05-16T19:10:10Z,28.7
2023-05-16T19:10:31Z,30.1
2023-05-16T19:10:51Z,28.7
2023-05-16T19:11:12Z,31.0
2023-05-16T19:11:32Z,29.4
2023-05-16T19:11:55Z,30.2
2023-05-16T19:12:18Z,30.4
2023-05-16T19:12:40Z,31.0
2023-05-16T19:13:01Z,30.0
2023-05-16T19:13:22Z,30.7
2023-05-16T19:13:42Z,30.0
2023-05-16T19:14:02Z,30.0
2023-05-16T19:14:22Z,30.1
2023-05-16T19:14:42Z,30.4
2023-05-16T19:15:02Z,30.0
2023-05-16T19:15:23Z,30.2
2023-05-16T19:15:43Z,28.7
2023-05-16T19:16:04Z,28.9
2023-05-16T19:16:24Z,29.0
2023-05-16T19:16:45Z,28.9
2023-05-16T19:17:05Z,30.0
2023-05-16T19:17:26Z,29.7
2023-05-16T19:17:46Z,30.3
2023-05-16T19:18:06Z,30.0
2023-05-16T19:18:26Z,28.9
2023-05-16T19:18:46Z,29.7
2023-05-16T19:19:06Z,28.7
2023-05-16T19:19:27Z,28.9
2023-05-16T19:19:47Z,30.5
2023-05-16T19:20:08Z,31.0
2023-05-16T19:20:29Z,28.5
2023-05-16T19:20:49Z,30.5
2023-05-16T19:21:09Z,30.5
2023-05-16T19:21:29Z,31.0
2023-05-16T19:21:50Z,31.0
2023-05-16T19:22:10Z,31.0
2023-05-16T19:22:30Z,28.5
2023-05-16T19:22:53Z,30.4
2023-05-16T19:23:17Z,30.9
2023-05-16T19:23:38Z,30.4
2023-05-16T19:24:01Z,29.9
2023-05-16T19:24:24Z,30.1
2023-05-16T19:24:46Z,30.9
2023-05-16T19:25:06Z,31.0
2023-05-16T19:25:26Z,30.9
2023-05-16T19:25:47Z,31.4
2023-05-16T19:26:07Z,29.6
2023-05-16T19:26:28Z,30.5
2023-05-16T19:26:48Z,31.4
2023-05-16T19:27:08Z,29.6
2023-05-16T19:27:28Z,30.1
2023-05-16T19:27:49Z,29.6
2023-05-16T19:28:12Z,29.8
2023-05-16T19:28:34Z,29.5
2023-05-16T19:28:57Z,29.8
2023-05-16T19:29:20Z,30.0
2023-05-16T19:29:43Z,30.5
2023-05-16T19:30:05Z,30.8
2023-05-16T19:30:27Z,29.8
2023-05-16T19:30:50Z,29.8
