pm25
42.65
31.4
16.05
14.1
17.6
23.8
8.7
13.1
7.7
15.0
16.8
58.1
49.55
17.25
21.8
43.05
48.9
88.7
153.9
103.5
54.7
30.4
13.1
40.9
25.2
32.0
44.7
41.65
39.79
37.29
50.6
84.1
74.05
68.7
37.6
30.6
66.7
51.5
31.1
23.35
55.8
62.3
67.2
67.7
40.1
10.15
16.89
23.7
33.1
43.7
54.8
76.0
185.45
153.3
100.65
142.35
119.0
51.8
58.3
55.6
45.5
92.7
47.5
53.3
46.8
53.2
45.2
47.75
51.2
77.3
51.0
51.4
53.9
50.4
48.9
56.2
58.4
22.55
59.1
80.65
67.8
32.9
46.15
60.9
56.5
62.3
11.8
18.35
38.4
46.9
66.7
126.0
80.84
107.3
59.8
53.5
58.2
51.8
68.09
51.45
59.25
25.4
11.4
33.7
40.1
89.2
63.8
45.8
47.7
50.6
43.6
46.0
44.0
39.6
45.0
27.8
14.2
34.4
39.3
51.8
49.0
67.0
37.5
33.1
29.0
37.1
43.3
47.5
27.9
51.0
15.7
27.3
39.0
39.9
43.6
43.4
49.6
24.1
16.7
37.29
52.1
43.6
49.35
30.2
35.35
28.8
42.5
34.5
28.7
27.8
35.85
37.45
25.5
29.6
35.95
48.65
37.85
51.95
42.4
27.15
22.1
27.85
15.7
20.2
15.55
18.0
26.7
27.45
33.0
50.2
30.0
28.8
33.45
25.5
33.6
45.25
42.2
32.29
21.0
35.54
36.29
19.0
41.45
28.5
37.7
38.0
36.6
24.45
21.25
36.7
16.5
29.4
19.6
27.7
27.2
22.8
22.7
14.0
20.9
27.5
22.0
17.39
28.5
31.6
41.8
42.0
37.35
31.9
34.0
28.5
30.8
35.65
32.79
24.6
33.5
26.9
42.4
18.5
14.25
46.8
41.1
19.39
33.7
37.9
39.0
47.1
48.05
23.4
10.7
25.8
40.29
59.7
14.5
18.55
23.3
24.1
25.7
19.6
36.2
41.8
46.8
50.6
32.3
43.4
45.75
52.1
28.4
47.6
44.5
36.1
44.3
69.7
50.7
46.7
44.6
43.4
38.4
51.0
47.8
53.1
34.79
46.8
48.7
50.85
72.7
73.8
72.4
45.45
34.1
15.5
23.7
53.5
41.95
43.0
54.5
45.1
46.4
14.1
30.45
43.9
50.1
86.1
77.3
84.1
60.7
62.0
53.5
44.2
56.2
64.7
74.0
78.8
37.9
19.1
36.8
64.2
28.5
15.7
51.3
89.2
111.4
70.5
59.6
79.7
80.0
86.5
69.7
78.3
47.1
42.35
48.1
48.95
43.3
35.6
32.7
34.0
35.5
49.25
77.75
84.65
52.4
31.9
50.9
47.1
21.4
36.5
38.4
24.2
12.4
40.9
65.6
33.0
46.7
86.05
72.7
56.45
68.95
67.7
80.59
89.3
77.55
88.7
103.3
132.69
49.0
62.1
75.59
135.1
106.15
84.0
59.3
78.59
67.09
127.05
59.5
34.5
50.7
63.2
72.15
106.2
67.34
91.55
91.2
67.15
54.2
101.95
104.55
148.25
102.6
64.4
51.7
59.3
68.3
39.1
50.0
62.15
71.7
203.45
85.4
59.7
63.0
109.8
123.1
71.8
63.8
69.09
40.4
49.2
43.25
46.3
43.8
37.29
41.7
44.1
45.45
55.6
50.2
45.2
52.45
78.95
106.05
60.7
65.9
74.75
69.95
48.5
48.6
36.2
50.3
58.1
77.4
63.5
82.7
106.5
79.7
66.6
107.0
61.0
55.7
59.05
116.0
74.09
65.2
72.3
50.15
64.45
58.95
43.1
43.2
48.5
33.29
50.4
65.59
60.7
68.2
49.95
50.25
38.4
30.2
42.4
44.2
66.55
57.2
51.0
48.2
47.5
53.65
61.9
56.6
58.85
47.4
58.4
76.09
59.6
49.7
43.7
51.9
60.75
53.1
48.65
50.65
54.65
58.1
69.09
48.6
46.7
41.6
38.0
53.5
45.75
32.5
20.55
37.1
36.8
37.7
28.4
42.0
46.9
48.6
45.2
34.2
45.2
