created_at,entry_id,field1,field2,field3,field4,field5,field6
2023-05-16T12:46:04Z,76367,28.50,42.10,36.44,67.80,35.00,14
2023-05-16T12:46:25Z,76368,27.80,40.60,36.38,68.00,35.10,16
2023-05-16T12:47:33Z,76369,27.40,40.10,36.31,67.60,35.10,15
2023-05-16T12:47:53Z,76370,26.90,41.40,36.50,67.80,35.00,12
2023-05-16T12:48:14Z,76371,26.30,39.70,36.44,67.80,35.20,18
2023-05-16T12:48:36Z,76372,27.90,42.80,36.38,67.80,35.10,17
2023-05-16T12:50:22Z,76373,26.90,37.80,36.56,67.10,35.20,13
2023-05-16T12:50:49Z,76374,28.60,42.80,36.50,67.00,35.30,16
2023-05-16T12:51:41Z,76375,27.50,44.10,36.56,66.70,35.50,21
2023-05-16T12:52:24Z,76376,27.90,38.40,36.50,66.50,35.50,17
2023-05-16T12:52:45Z,76377,27.20,38.50,36.50,66.30,35.40,15
2023-05-16T12:59:41Z,76378,28.60,39.80,36.38,66.50,35.10,15
2023-05-16T13:00:45Z,76379,28.40,39.70,36.38,66.80,35.30,14
2023-05-16T13:01:05Z,76380,28.40,42.80,36.38,66.10,35.30,15
2023-05-16T13:03:18Z,76381,27.50,41.60,36.44,66.50,35.20,14
2023-05-16T13:03:58Z,76382,28.40,38.50,36.50,66.40,36.20,16
2023-05-16T13:04:26Z,76383,28.10,40.70,36.63,65.80,35.30,15
2023-05-16T13:05:55Z,76384,27.80,42.50,36.81,66.10,35.50,22
2023-05-16T13:07:21Z,76385,27.80,41.60,36.81,65.20,35.90,18
2023-05-16T13:07:41Z,76386,27.60,40.00,36.75,65.20,35.90,18
2023-05-16T13:09:23Z,76387,28.20,40.00,36.81,65.40,35.70,19
2023-05-16T13:10:12Z,76388,28.20,42.40,36.75,64.70,35.60,16
2023-05-16T13:12:38Z,76389,27.90,42.70,36.75,64.40,35.80,15
2023-05-16T13:13:46Z,76390,27.50,43.40,36.81,64.80,35.60,15
2023-05-16T13:15:20Z,76391,27.90,38.30,37.00,65.80,35.50,17
2023-05-16T13:17:35Z,76392,27.80,39.90,36.88,65.00,35.80,16
2023-05-16T13:18:55Z,76393,27.70,39.90,36.81,64.20,36.00,17
2023-05-16T13:19:56Z,76394,26.90,40.10,36.75,65.30,35.70,16
2023-05-16T13:21:55Z,76395,26.80,37.60,36.69,65.30,35.90,14
2023-05-16T13:22:15Z,76396,27.10,41.20,36.69,65.10,35.80,13
2023-05-16T13:22:48Z,76397,26.90,40.10,36.63,65.60,35.40,15
2023-05-16T13:23:08Z,76398,27.50,41.90,36.63,65.60,35.40,16
2023-05-16T13:23:28Z,76399,28.10,42.90,36.56,65.60,35.50,18
